Chemical Name,Chemical Groups,CASRN,(Freshwater) Concentration (µg/L) Short Term,(Freshwater) Concentration (µg/L) Long Term,(Freshwater) Date,(Marine) Concentration (µg/L) Short Term,(Marine) Concentration (µg/L) Long Term,(Marine) Date,,,,,,,,,
Acenaphthene,"Organic, Polyaromatic compounds, Polycyclic aromatic hydrocarbons",83-32-9,No data,5.8,1999,No data,Insufficient data,1999,,,,,,,,,
Acenaphthylene,"Organic, Polyaromatic compounds, Polycyclic aromatic hydrocarbons",208-96-8,No data,No data,1999,No data,No data,1999,,,,,,,,,
Acridine,"Organic, Polyaromatic compounds, Polycyclic aromatic hydrocarbons",260-94-6,No data,4.4,1999,No data,Insufficient data,1999,,,,,,,,,
Aldicarb,"Organic, Pesticides, Carbamate pesticides",116-06-3,No data,1,1993,No data,0.15,1993,,,,,,,,,
Aldrin,"Organic, Pesticides, Organochlorine compounds",309-00-2,No data,0.004,1987,No data,No data,No data,,,,,,,,,
Aliphatics nonchlorinated (each),"Organic, Non-halogenated aliphatic compounds",,No data,No data,No data,No data,No data,No data,,,,,,,,,
Aluminium,"Inorganic, Metals",7429-90-5,No data,Variable,1987,No data,No data,No data,,,,,,,,,
Ammonia (total),"Inorganic, Inorganic nitrogen compounds",,No data,Table,2001,No data,No data,No data,,,,,,,,,
Ammonia (un-ionized),Inorganic nitrogen compounds,7664-41-7,No data,19,2001,No data,No data,No data,,,,,,,,,
Aniline,Organic,62-53-3,No data,2.2,1993,No data,Insufficient data,1993,,,,,,,,,
Anthracene,"Organic, Polyaromatic compounds, Polycyclic aromatic hydrocarbons",120-12-7,No data,0.012,1999,No data,Insufficient data,1999,,,,,,,,,
Antimony,"Inorganic, Metals",7440-36-0,No data,No data,No data,No data,No data,No data,,,,,,,,,
Aroclor 1254,"Organic, Polyaromatic compounds, Polychlorinated biphenyls",11097-69-1,No data,No data,No data,No data,No data,No data,,,,,,,,,
Arsenic,"Inorganic, Metals",7440-38-2,No data,5,1997,No data,12.5,1997,,,,,,,,,
Atrazine,"Organic, Pesticides, Triazine compounds",1912-24-9,No data,1.8,1989,No data,No data,No data,,,,,,,,,
Barium,"Inorganic, Metals",7440-39-3,No data,No data,No data,No data,No data,No data,,,,,,,,,
Benz(a)anthracene,"Organic, Polyaromatic compounds, Polycyclic aromatic hydrocarbons",56-55-3,No data,0.018,1999,No data,Insufficient data,1999,,,,,,,,,
Benzene,"Organic, Monocyclic aromatic compounds",71-43-2,No data,370,1999,No data,110,1999,,,,,,,,,
Benzo(a)pyrene,"Organic, Polyaromatic compounds, Polycyclic aromatic hydrocarbons",50-32-8,No data,0.015,1999,No data,Insufficient data,1999,,,,,,,,,
Benzo(b)fluoranthene,"Organic, Polyaromatic compounds, Polycyclic aromatic hydrocarbons",205-99-2,No data,No data,No data,No data,No data,No data,,,,,,,,,
Benzo(k)fluoranthene,"Organic, Polyaromatic compounds, Polycyclic aromatic hydrocarbons",207-08-9,No data,No data,No data,No data,No data,No data,,,,,,,,,
Beryllium,"Inorganic, Metals",7440-41-7,No data,No data,No data,No data,No data,No data,,,,,,,,,
Boron,"Inorganic, Metals",7440-42-8,"29,000μg/L","1,500μg/L",2009,NRG,NRG,2009,,,,,,,,,
Bromacil,"Organic, Pesticides",314-40-9,No data,5,1997,No data,Insufficient data,1997,,,,,,,,,
Bromoxynil,"Organic, Pesticides, Benzonitrile compounds",1689-84-5,No data,5,1993,No data,Insufficient data,1993,,,,,,,,,
Cadmium,"Inorganic, Metals",7440-43-9,Equation,Equation,2014,NRG,0.12,2014,,,,,,,,,
Calcium,"Inorganic, Metals",7440-70-2,No data,No data,No data,No data,No data,No data,,,,,,,,,
Carbamazepine,,298-46-4,NRG,10,2018,NRG,NRG,2018,,,,,,,,,
Carbaryl,"Organic, Pesticides, Carbamate pesticides",63-25-2,3.3,0.2,2009,5.7,0.29,2009,,,,,,,,,
Carbofuran,"Organic, Pesticides, Carbamate pesticides",1563-66-2,No data,1.8,1989,No data,No data,No data,,,,,,,,,
Chlordane,"Organic, Pesticides, Organochlorine compounds",57-74-9,No data,0.006,1987,No data,No data,No data,,,,,,,,,
Chloride,Inorganic,16887-00-6,"640,000 µg/L or  640 mg/L","120,000  µg/L or  120 mg/L",2011,NRG,NRG,2011,,,,,,,,,
"Chlorine, Reactive Species","Inorganic, Reactive chlorine compounds",,No data,0.5,1999,No data,0.5,1999,,,,,,,,,
Chlorothalonil,"Organic, Pesticides",1897-45-6,No data,0.18,1994,No data,0.36,1994,,,,,,,,,
Chlorpyrifos,"Organic, Pesticides",2921-88-2,0.02,0.002,2008,NRG,0.002,2008,,,,,,,,,
Chromium (total),"Inorganic, Metals",7440-47-3,No data,No data,No data,No data,No data,No data,,,,,,,,,
