INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,AVERAGE_MASS,QSAR_READY_SMILES,logKOW,NOTE
98967-40-9,COMP_TOX,DTXSID4032615,Flumetsulam,325.29,CC1=NC2=NC(=NN2C=C1)S(=O)(=O)NC1=C(F)C=CC=C1F,1.60967,
98-86-2,COMP_TOX,DTXSID6021828,Acetophenone,120.151,CC(=O)C1=CC=CC=C1,1.5825,
98-82-8,COMP_TOX,DTXSID1021827,Cumene,120.195,CC(C)C1=CC=CC=C1,3.66274,
98319-26-7,COMP_TOX,DTXSID3020625,Finasteride,372.553,CC(C)(C)NC(=O)C1CCC2C3CCC4NC(=O)C=CC4(C)C3CCC12C,3.02977,
97825-25-7,COMP_TOX,DTXSID7048378,Ractopamine,301.386,CC(CCC1=CC=C(O)C=C1)NCC(O)C1=CC=C(O)C=C1,2.87975,
97240-79-4,COMP_TOX,DTXSID8023688,Topiramate,339.36,CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1,0.264922,
968-81-0,COMP_TOX,DTXSID7020007,Acetohexamide,324.4,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,2.43949,
96782-85-3,COMP_TOX,-,-,379.87,NS(=O)(=O)C1=C(Cl)C=C2NC(CC3CCCC3)NS(=O)(=O)C2=C1,1.27,Found by name - alternative CAS number = 742-20-1; this CAS is depreciated
96489-71-3,COMP_TOX,DTXSID5032573,Pyridaben,364.93,CC(C)(C)N1N=CC(SCC2=CC=C(C=C2)C(C)(C)C)=C(Cl)C1=O,6.3671,
962-58-3,COMP_TOX,DTXSID5037523,Diazoxon,288.284,CCOP(=O)(OCC)OC1=NC(=NC(C)=C1)C(C)C,2.07181,
96182-53-5,COMP_TOX,DTXSID1032482,Tebupirimfos,318.37,CCOP(=S)(OC(C)C)OC1=CN=C(N=C1)C(C)(C)C,3.54339,
961-22-8,COMP_TOX,DTXSID4058499,Azinphos-methyl oxon,301.26,COP(=O)(OC)SCN1N=NC2=CC=CC=C2C1=O,0.779626,
959-98-8,COMP_TOX,DTXSID9037539,Endosulfan I,406.9,ClC1=C(Cl)C2(Cl)C3COS(=O)OCC3C1(Cl)C2(Cl)Cl,3.82812,
95737-68-1,COMP_TOX,DTXSID1032640,Pyriproxyfen,321.376,CC(COC1=CC=C(OC2=CC=CC=C2)C=C1)OC1=NC=CC=C1,4.19946,
95-15-8,COMP_TOX,DTXSID2052736,Benzothiophene,134.2,S1C=CC2=C1C=CC=C2,3.12067,
95-14-7,COMP_TOX,DTXSID6020147,"1,2,3-Benzotriazole",119.127,N1N=NC2=C1C=CC=C2,1.43928,
950-37-8,COMP_TOX,DTXSID5020819,Methidathion,302.32,COC1=NN(CSP(=S)(OC)OC)C(=O)S1,2.19921,
