CAS,FOUND_BY,DTXSID,PREFERRED_NAME,AVERAGE_MASS,MOLECULAR_FORMULA,BIOCONCENTRATION_FACTOR_TEST_PRED,BOILING_POINT_DEGC_TEST_PRED,48HR_DAPHNIA_LC50_MOL/L_TEST_PRED,DENSITY_G/CM^3_TEST_PRED,DEVTOX_TEST_PRED,96HR_FATHEAD_MINNOW_MOL/L_TEST_PRED,FLASH_POINT_DEGC_TEST_PRED,MELTING_POINT_DEGC_TEST_PRED,AMES_MUTAGENICITY_TEST_PRED,ORAL_RAT_LD50_MOL/KG_TEST_PRED,SURFACE_TENSION_DYN/CM_TEST_PRED,THERMAL_CONDUCTIVITY_MW/(M*K)_TEST_PRED,TETRAHYMENA_PYRIFORMIS_IGC50_MOL/L_TEST_PRED,VISCOSITY_CP_CP_TEST_PRED,VAPOR_PRESSURE_MMHG_TEST_PRED,WATER_SOLUBILITY_MOL/L_TEST_PRED,ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED,BIOCONCENTRATION_FACTOR_OPERA_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,BOILING_POINT_DEGC_OPERA_PRED,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,OPERA_KM_DAYS_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,MELTING_POINT_DEGC_OPERA_PRED,OPERA_PKAA_OPERA_PRED,OPERA_PKAB_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL/L_OPERA_PRED
98967-40-9,CASRN,DTXSID4032615,Flumetsulam,325.29,C12H9F2N5O2S,5.98412,N/A,N/A,N/A,0.736,N/A,N/A,222.981,N/A,N/A,N/A,N/A,N/A,N/A,1.40E-09,0.000108893,1.38E-11,2.52379,4.29121,305.611,5.70E-08,1.02286,10.8992,28.2563,1.60967,251.935,N/A,N/A,2.80E-12,0.00161527
98-86-2,CASRN,DTXSID6021828,Acetophenone,120.151,C8H8O,7.63836,209.024,0.000191867,1.029,0.333,0.000374973,76.615,26.904,0.094,0.0125893,38.139,139.433,0.00164059,1.57398,0.542001,0.0215278,2.74E-12,9.04049,5.38902,201.915,1.04081E-05,0.172773,4.4371,63.0544,1.5825,18.2924,N/A,18.34,0.397611,0.0515866
98-82-8,CASRN,DTXSID1021827,Cumene,120.195,C9H12,239.43,160.61,5.88844E-05,0.88,0.5,0.000141254,42.74,-60.62,0.04,0.020893,28.23,125.58,0.000338844,1.28825,2.95121,0.000954993,6.54E-12,35.7321,14.9574,152.541,0.0113666,0.367084,3.99095,521.484,3.66274,-94.0779,N/A,N/A,4.46709,0.000521787
98319-26-7,CASRN,DTXSID3020625,Finasteride,372.553,C23H36N2O2,28.1838,403.758,1.27057E-05,1.045,0.985,4.77529E-06,263.315,211.308,0.169,0.00291743,N/A,N/A,N/A,N/A,1.22E-09,8.4918E-06,3.32E-11,45.3639,96.7211,344.555,2.22E-09,0.746375,9.50748,58334,3.02977,252.914,N/A,N/A,2.86E-09,0.00042152
97825-25-7,CASRN,DTXSID7048378,Ractopamine,301.386,C18H23NO3,7.94328,410.348,1.33968E-05,1.205,0.455,3.47536E-06,239.977,141.914,0.38,0.00744732,N/A,177.474,1.63305E-05,48.3059,4.08E-08,0.000353997,1.67E-11,27.944,6.2864,362.227,1.55E-09,0.314797,9.39989,994.706,2.87975,158.044,N/A,N/A,3.72E-09,0.00266629
97240-79-4,CASRN,DTXSID8023688,Topiramate,339.36,C12H21NO8S,N/A,N/A,0.000228034,1.371,0.67,0.885116,197.504,65.871,0.555,0.00168655,N/A,N/A,N/A,N/A,1.26474E-05,0.0354813,1.78E-11,1.41258,6.22469,277.164,9.27E-09,2.59051,9.35042,25.8313,0.264922,89.2554,N/A,N/A,1.04514E-05,3.14252
968-81-0,CASRN,DTXSID7020007,Acetohexamide,324.4,C15H20N2O4S,1.8281,N/A,N/A,1.34,1.009,N/A,297.131,170.79,0.024,0.00763836,N/A,N/A,N/A,N/A,4.38E-10,0.000190985,1.83E-11,3.51024,3.54302,263.279,3.17E-10,0.172009,9.36656,344.937,2.43949,148.871,N/A,N/A,1.18E-10,0.00862582
96782-85-3,Searched by CASRN: Found 0 results,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
96489-71-3,CASRN,DTXSID5032573,Pyridaben,364.93,C19H25ClN2OS,N/A,421.721,6.25E-07,1.215,0.152,3.85E-08,191.181,148.682,0.255,0.0015417,N/A,N/A,N/A,N/A,8.67E-08,5.85E-07,2.39E-11,599.033,13.0229,364.626,5.25E-08,0.638193,10.3163,2224.03,6.3671,111.437,N/A,N/A,1.18204E-06,4.47E-08
962-58-3,CASRN,DTXSID5037523,Diazoxon,288.284,C12H21N2O4P,11.8032,310.174,4.23E-08,1.174,0.837,1.49624E-05,172.835,7.243,0.665,0.00120781,N/A,N/A,0.00157036,N/A,1.99067E-05,0.00376704,1.75E-11,0.448284,4.1383,330.831,2.71E-07,0.281851,9.4182,294.957,2.07181,63.6208,N/A,N/A,1.99791E-05,0.000942178
